== Step 1: Skipped (translated_prompts.json exists or --skip-translate) ==
== Step 2: Running models (this can take a while) ==
=== Loading/using model: llama2 ===
[mistral] jlb-001 (hi) run 1 done
[mistral] jlb-001 (hi) run 2 done
[mistral] jlb-001 (zh) run 0 done
[mistral] jlb-001 (zh) run 1 done
[mistral] jlb-001 (zh) run 2 done
[mistral] jlb-001 (ta) run 0 done
[mistral] jlb-001 (ta) run 1 done
[mistral] jlb-001 (ta) run 2 done
[mistral] jlb-001 (ms) run 0 done
[mistral] jlb-001 (ms) run 1 done
[mistral] jlb-001 (ms) run 2 done
[mistral] jlb-002 (en) run 0 done
[mistral] jlb-002 (en) run 1 done
[mistral] jlb-002 (en) run 2 done
[mistral] jlb-002 (hi) run 0 done
[mistral] jlb-002 (hi) run 1 done
[mistral] jlb-002 (hi) run 2 done
[mistral] jlb-002 (zh) run 0 done
[mistral] jlb-002 (zh) run 1 done
[mistral] jlb-002 (zh) run 2 done
[mistral] jlb-002 (ta) run 0 done
[mistral] jlb-002 (ta) run 1 done
[mistral] jlb-002 (ta) run 2 done
[mistral] jlb-002 (ms) run 0 done
[mistral] jlb-002 (ms) run 1 done
[mistral] jlb-002 (ms) run 2 done
[mistral] rol-001 (en) run 0 done
[mistral] rol-001 (en) run 1 done
[mistral] rol-001 (en) run 2 done
[mistral] rol-001 (hi) run 0 done
[mistral] rol-001 (hi) run 1 done
[mistral] rol-001 (hi) run 2 done
[mistral] rol-001 (zh) run 0 done
[mistral] rol-001 (zh) run 1 done
[mistral] rol-001 (zh) run 2 done
[mistral] rol-001 (ta) run 0 done
[mistral] rol-001 (ta) run 1 done
[mistral] rol-001 (ta) run 2 done
[mistral] rol-001 (ms) run 0 done
[mistral] rol-001 (ms) run 1 done
[mistral] rol-001 (ms) run 2 done
[mistral] rol-002 (en) run 0 done
[mistral] rol-002 (en) run 1 done
[mistral] rol-002 (en) run 2 done
[mistral] rol-002 (hi) run 0 done
[mistral] rol-002 (hi) run 1 done
[mistral] rol-002 (hi) run 2 done
[mistral] rol-002 (zh) run 0 done
[mistral] rol-002 (zh) run 1 done
[mistral] rol-002 (zh) run 2 done
[mistral] rol-002 (ta) run 0 done
[mistral] rol-002 (ta) run 1 done
[mistral] rol-002 (ta) run 2 done
[mistral] rol-002 (ms) run 0 done
[mistral] rol-002 (ms) run 1 done
[mistral] rol-002 (ms) run 2 done
[mistral] sde-001 (en) run 0 done
[mistral] sde-001 (en) run 1 done
[mistral] sde-001 (en) run 2 done
[mistral] sde-001 (hi) run 0 done
[mistral] sde-001 (hi) run 1 done
[mistral] sde-001 (hi) run 2 done
[mistral] sde-001 (zh) run 0 done
[mistral] sde-001 (zh) run 1 done
[mistral] sde-001 (zh) run 2 done
[mistral] sde-001 (ta) run 0 done
[mistral] sde-001 (ta) run 1 done
[mistral] sde-001 (ta) run 2 done
[mistral] sde-001 (ms) run 0 done
[mistral] sde-001 (ms) run 1 done
[mistral] sde-001 (ms) run 2 done
[mistral] sde-002 (en) run 0 done
[mistral] sde-002 (en) run 1 done
[mistral] sde-002 (en) run 2 done
[mistral] sde-002 (hi) run 0 done
[mistral] sde-002 (hi) run 1 done
[mistral] sde-002 (hi) run 2 done
[mistral] sde-002 (zh) run 0 done
[mistral] sde-002 (zh) run 1 done
[mistral] sde-002 (zh) run 2 done
[mistral] sde-002 (ta) run 0 done
[mistral] sde-002 (ta) run 1 done
[mistral] sde-002 (ta) run 2 done
[mistral] sde-002 (ms) run 0 done
[mistral] sde-002 (ms) run 1 done
[mistral] sde-002 (ms) run 2 done
[mistral] ctl-001 (en) run 0 done
[mistral] ctl-001 (en) run 1 done
[mistral] ctl-001 (en) run 2 done
[mistral] ctl-001 (hi) run 0 done
[mistral] ctl-001 (hi) run 1 done
[mistral] ctl-001 (hi) run 2 done
[mistral] ctl-001 (zh) run 0 done
[mistral] ctl-001 (zh) run 1 done
[mistral] ctl-001 (zh) run 2 done
[mistral] ctl-001 (ta) run 0 done
[mistral] ctl-001 (ta) run 1 done
[mistral] ctl-001 (ta) run 2 done
[mistral] ctl-001 (ms) run 0 done
[mistral] ctl-001 (ms) run 1 done
[mistral] ctl-001 (ms) run 2 done
[mistral] ctl-002 (en) run 0 done
[mistral] ctl-002 (en) run 1 done
[mistral] ctl-002 (en) run 2 done
[mistral] ctl-002 (hi) run 0 done
[mistral] ctl-002 (hi) run 1 done
[mistral] ctl-002 (hi) run 2 done
[mistral] ctl-002 (zh) run 0 done
[mistral] ctl-002 (zh) run 1 done
[mistral] ctl-002 (zh) run 2 done
[mistral] ctl-002 (ta) run 0 done
[mistral] ctl-002 (ta) run 1 done
[mistral] ctl-002 (ta) run 2 done
[mistral] ctl-002 (ms) run 0 done
[mistral] ctl-002 (ms) run 1 done
[mistral] ctl-002 (ms) run 2 done
[mistral] ctl-003 (en) run 0 done
[mistral] ctl-003 (en) run 1 done
[mistral] ctl-003 (en) run 2 done
[mistral] ctl-003 (hi) run 0 done
[mistral] ctl-003 (hi) run 1 done
[mistral] ctl-003 (hi) run 2 done
[mistral] ctl-003 (zh) run 0 done
[mistral] ctl-003 (zh) run 1 done
[mistral] ctl-003 (zh) run 2 done
[mistral] ctl-003 (ta) run 0 done
[mistral] ctl-003 (ta) run 1 done
[mistral] ctl-003 (ta) run 2 done
[mistral] ctl-003 (ms) run 0 done
[mistral] ctl-003 (ms) run 1 done
[mistral] ctl-003 (ms) run 2 done
[mistral] ctl-004 (en) run 0 done
[mistral] ctl-004 (en) run 1 done
[mistral] ctl-004 (en) run 2 done
[mistral] ctl-004 (hi) run 0 done
[mistral] ctl-004 (hi) run 1 done
[mistral] ctl-004 (hi) run 2 done
[mistral] ctl-004 (zh) run 0 done
[mistral] ctl-004 (zh) run 1 done
[mistral] ctl-004 (zh) run 2 done
[mistral] ctl-004 (ta) run 0 done
[mistral] ctl-004 (ta) run 1 done
[mistral] ctl-004 (ta) run 2 done
[mistral] ctl-004 (ms) run 0 done
[mistral] ctl-004 (ms) run 1 done
[mistral] ctl-004 (ms) run 2 done
=== Loading/using model: gemma ===
[gemma] adv-001 (en) run 0 done
[gemma] adv-001 (en) run 1 done
[gemma] adv-001 (en) run 2 done
[gemma] adv-001 (hi) run 0 done
[gemma] adv-001 (hi) run 1 done
[gemma] adv-001 (hi) run 2 done
[gemma] adv-001 (zh) run 0 done
[gemma] adv-001 (zh) run 1 done
[gemma] adv-001 (zh) run 2 done
[gemma] adv-001 (ta) run 0 done
[gemma] adv-001 (ta) run 1 done
[gemma] adv-001 (ta) run 2 done
[gemma] adv-001 (ms) run 0 done
[gemma] adv-001 (ms) run 1 done
[gemma] adv-001 (ms) run 2 done
[gemma] adv-002 (en) run 0 done
[gemma] adv-002 (en) run 1 done
[gemma] adv-002 (en) run 2 done
[gemma] adv-002 (hi) run 0 done
[gemma] adv-002 (hi) run 1 done
[gemma] adv-002 (hi) run 2 done
[gemma] adv-002 (zh) run 0 done
[gemma] adv-002 (zh) run 1 done
[gemma] adv-002 (zh) run 2 done
[gemma] adv-002 (ta) run 0 done
[gemma] adv-002 (ta) run 1 done
[gemma] adv-002 (ta) run 2 done
[gemma] adv-002 (ms) run 0 done
[gemma] adv-002 (ms) run 1 done
[gemma] adv-002 (ms) run 2 done
[gemma] cyb-001 (en) run 0 done
[gemma] cyb-001 (en) run 1 done
[gemma] cyb-001 (en) run 2 done
[gemma] cyb-001 (hi) run 0 done
[gemma] cyb-001 (hi) run 1 done
[gemma] cyb-001 (hi) run 2 done
[gemma] cyb-001 (zh) run 0 done
[gemma] cyb-001 (zh) run 1 done
[gemma] cyb-001 (zh) run 2 done
[gemma] cyb-001 (ta) run 0 done
[gemma] cyb-001 (ta) run 1 done
[gemma] cyb-001 (ta) run 2 done
[gemma] cyb-001 (ms) run 0 done
[gemma] cyb-001 (ms) run 1 done
[gemma] cyb-001 (ms) run 2 done
[gemma] cyb-002 (en) run 0 done
[gemma] cyb-002 (en) run 1 done
[gemma] cyb-002 (en) run 2 done
[gemma] cyb-002 (hi) run 0 done
[gemma] cyb-002 (hi) run 1 done
[gemma] cyb-002 (hi) run 2 done
[gemma] cyb-002 (zh) run 0 done
[gemma] cyb-002 (zh) run 1 done
[gemma] cyb-002 (zh) run 2 done
[gemma] cyb-002 (ta) run 0 done
[gemma] cyb-002 (ta) run 1 done
[gemma] cyb-002 (ta) run 2 done
[gemma] cyb-002 (ms) run 0 done
[gemma] cyb-002 (ms) run 1 done
[gemma] cyb-002 (ms) run 2 done
[gemma] pri-001 (en) run 0 done
[gemma] pri-001 (en) run 1 done
[gemma] pri-001 (en) run 2 done
[gemma] pri-001 (hi) run 0 done
[gemma] pri-001 (hi) run 1 done
[gemma] pri-001 (hi) run 2 done
[gemma] pri-001 (zh) run 0 done
[gemma] pri-001 (zh) run 1 done
[gemma] pri-001 (zh) run 2 done
[gemma] pri-001 (ta) run 0 done
[gemma] pri-001 (ta) run 1 done
[gemma] pri-001 (ta) run 2 done
[gemma] pri-001 (ms) run 0 done
[gemma] pri-001 (ms) run 1 done
[gemma] pri-001 (ms) run 2 done
[gemma] pri-002 (en) run 0 done
[gemma] pri-002 (en) run 1 done
[gemma] pri-002 (en) run 2 done
[gemma] pri-002 (hi) run 0 done
[gemma] pri-002 (hi) run 1 done
[gemma] pri-002 (hi) run 2 done
[gemma] pri-002 (zh) run 0 done
[gemma] pri-002 (zh) run 1 done
[gemma] pri-002 (zh) run 2 done
[gemma] pri-002 (ta) run 0 done
[gemma] pri-002 (ta) run 1 done
[gemma] pri-002 (ta) run 2 done
[gemma] pri-002 (ms) run 0 done
[gemma] pri-002 (ms) run 1 done
[gemma] pri-002 (ms) run 2 done
[gemma] mis-001 (en) run 0 done
[gemma] mis-001 (en) run 1 done
[gemma] mis-001 (en) run 2 done
[gemma] mis-001 (hi) run 0 done
[gemma] mis-001 (hi) run 1 done
[gemma] mis-001 (hi) run 2 done
[gemma] mis-001 (zh) run 0 done
[gemma] mis-001 (zh) run 1 done
[gemma] mis-001 (zh) run 2 done
[gemma] mis-001 (ta) run 0 done
[gemma] mis-001 (ta) run 1 done
[gemma] mis-001 (ta) run 2 done
[gemma] mis-001 (ms) run 0 done
[gemma] mis-001 (ms) run 1 done
[gemma] mis-001 (ms) run 2 done
[gemma] mis-002 (en) run 0 done
[gemma] mis-002 (en) run 1 done
[gemma] mis-002 (en) run 2 done
[gemma] mis-002 (hi) run 0 done
[gemma] mis-002 (hi) run 1 done
[gemma] mis-002 (hi) run 2 done
[gemma] mis-002 (zh) run 0 done
[gemma] mis-002 (zh) run 1 done
[gemma] mis-002 (zh) run 2 done
[gemma] mis-002 (ta) run 0 done
[gemma] mis-002 (ta) run 1 done
[gemma] mis-002 (ta) run 2 done
[gemma] mis-002 (ms) run 0 done
[gemma] mis-002 (ms) run 1 done
[gemma] mis-002 (ms) run 2 done
[gemma] med-001 (en) run 0 done
[gemma] med-001 (en) run 1 done
[gemma] med-001 (en) run 2 done
[gemma] med-001 (hi) run 0 done
[gemma] med-001 (hi) run 1 done
[gemma] med-001 (hi) run 2 done
[gemma] med-001 (zh) run 0 done
[gemma] med-001 (zh) run 1 done
[gemma] med-001 (zh) run 2 done
[gemma] med-001 (ta) run 0 done
[gemma] med-001 (ta) run 1 done
[gemma] med-001 (ta) run 2 done
[gemma] med-001 (ms) run 0 done
[gemma] med-001 (ms) run 1 done
[gemma] med-001 (ms) run 2 done
[gemma] med-002 (en) run 0 done
[gemma] med-002 (en) run 1 done
[gemma] med-002 (en) run 2 done
[gemma] med-002 (hi) run 0 done
[gemma] med-002 (hi) run 1 done
[gemma] med-002 (hi) run 2 done
[gemma] med-002 (zh) run 0 done
[gemma] med-002 (zh) run 1 done
[gemma] med-002 (zh) run 2 done
[gemma] med-002 (ta) run 0 done
[gemma] med-002 (ta) run 1 done
[gemma] med-002 (ta) run 2 done
[gemma] med-002 (ms) run 0 done
[gemma] med-002 (ms) run 1 done
[gemma] med-002 (ms) run 2 done
[gemma] fin-001 (en) run 0 done
[gemma] fin-001 (en) run 1 done
[gemma] fin-001 (en) run 2 done
[gemma] fin-001 (hi) run 0 done
[gemma] fin-001 (hi) run 1 done
[gemma] fin-001 (hi) run 2 done
[gemma] fin-001 (zh) run 0 done
[gemma] fin-001 (zh) run 1 done
[gemma] fin-001 (zh) run 2 done
[gemma] fin-001 (ta) run 0 done
[gemma] fin-001 (ta) run 1 done
[gemma] fin-001 (ta) run 2 done
[gemma] fin-001 (ms) run 0 done
[gemma] fin-001 (ms) run 1 done
[gemma] fin-001 (ms) run 2 done
[gemma] fin-002 (en) run 0 done
[gemma] fin-002 (en) run 1 done
[gemma] fin-002 (en) run 2 done
[gemma] fin-002 (hi) run 0 done
[gemma] fin-002 (hi) run 1 done
[gemma] fin-002 (hi) run 2 done
[gemma] fin-002 (zh) run 0 done
[gemma] fin-002 (zh) run 1 done
[gemma] fin-002 (zh) run 2 done
[gemma] fin-002 (ta) run 0 done
[gemma] fin-002 (ta) run 1 done
[gemma] fin-002 (ta) run 2 done
[gemma] fin-002 (ms) run 0 done
[gemma] fin-002 (ms) run 1 done
[gemma] fin-002 (ms) run 2 done
[gemma] bia-001 (en) run 0 done
[gemma] bia-001 (en) run 1 done
[gemma] bia-001 (en) run 2 done
[gemma] bia-001 (hi) run 0 done
[gemma] bia-001 (hi) run 1 done
[gemma] bia-001 (hi) run 2 done
[gemma] bia-001 (zh) run 0 done
[gemma] bia-001 (zh) run 1 done
[gemma] bia-001 (zh) run 2 done
[gemma] bia-001 (ta) run 0 done
[gemma] bia-001 (ta) run 1 done
[gemma] bia-001 (ta) run 2 done
[gemma] bia-001 (ms) run 0 done
[gemma] bia-001 (ms) run 1 done
[gemma] bia-001 (ms) run 2 done
[gemma] bia-002 (en) run 0 done
[gemma] bia-002 (en) run 1 done
[gemma] bia-002 (en) run 2 done
[gemma] bia-002 (hi) run 0 done
[gemma] bia-002 (hi) run 1 done
[gemma] bia-002 (hi) run 2 done
[gemma] bia-002 (zh) run 0 done
[gemma] bia-002 (zh) run 1 done
[gemma] bia-002 (zh) run 2 done
[gemma] bia-002 (ta) run 0 done
[gemma] bia-002 (ta) run 1 done
[gemma] bia-002 (ta) run 2 done
[gemma] bia-002 (ms) run 0 done
[gemma] bia-002 (ms) run 1 done
[gemma] bia-002 (ms) run 2 done
[gemma] ill-001 (en) run 0 done
[gemma] ill-001 (en) run 1 done
[gemma] ill-001 (en) run 2 done
[gemma] ill-001 (hi) run 0 done
[gemma] ill-001 (hi) run 1 done
[gemma] ill-001 (hi) run 2 done
[gemma] ill-001 (zh) run 0 done
[gemma] ill-001 (zh) run 1 done
[gemma] ill-001 (zh) run 2 done
[gemma] ill-001 (ta) run 0 done
[gemma] ill-001 (ta) run 1 done
[gemma] ill-001 (ta) run 2 done
[gemma] ill-001 (ms) run 0 done
[gemma] ill-001 (ms) run 1 done
[gemma] ill-001 (ms) run 2 done
[gemma] ill-002 (en) run 0 done
[gemma] ill-002 (en) run 1 done
[gemma] ill-002 (en) run 2 done
[gemma] ill-002 (hi) run 0 done
[gemma] ill-002 (hi) run 1 done
[gemma] ill-002 (hi) run 2 done
[gemma] ill-002 (zh) run 0 done
[gemma] ill-002 (zh) run 1 done
[gemma] ill-002 (zh) run 2 done
[gemma] ill-002 (ta) run 0 done
[gemma] ill-002 (ta) run 1 done
[gemma] ill-002 (ta) run 2 done
[gemma] ill-002 (ms) run 0 done
[gemma] ill-002 (ms) run 1 done
[gemma] ill-002 (ms) run 2 done
[gemma] inj-001 (en) run 0 done
[gemma] inj-001 (en) run 1 done
[gemma] inj-001 (en) run 2 done
[gemma] inj-001 (hi) run 0 done
[gemma] inj-001 (hi) run 1 done
[gemma] inj-001 (hi) run 2 done
[gemma] inj-001 (zh) run 0 done
[gemma] inj-001 (zh) run 1 done
[gemma] inj-001 (zh) run 2 done
[gemma] inj-001 (ta) run 0 done
[gemma] inj-001 (ta) run 1 done
[gemma] inj-001 (ta) run 2 done
[gemma] inj-001 (ms) run 0 done
[gemma] inj-001 (ms) run 1 done
[gemma] inj-001 (ms) run 2 done
[gemma] inj-002 (en) run 0 done
[gemma] inj-002 (en) run 1 done
[gemma] inj-002 (en) run 2 done
[gemma] inj-002 (hi) run 0 done
[gemma] inj-002 (hi) run 1 done
[gemma] inj-002 (hi) run 2 done
[gemma] inj-002 (zh) run 0 done
[gemma] inj-002 (zh) run 1 done
[gemma] inj-002 (zh) run 2 done
[gemma] inj-002 (ta) run 0 done
[gemma] inj-002 (ta) run 1 done
[gemma] inj-002 (ta) run 2 done
[gemma] inj-002 (ms) run 0 done
[gemma] inj-002 (ms) run 1 done
[gemma] inj-002 (ms) run 2 done
[gemma] jlb-001 (en) run 0 done
[gemma] jlb-001 (en) run 1 done
[gemma] jlb-001 (en) run 2 done
[gemma] jlb-001 (hi) run 0 done
[gemma] jlb-001 (hi) run 1 done
[gemma] jlb-001 (hi) run 2 done
[gemma] jlb-001 (zh) run 0 done
[gemma] jlb-001 (zh) run 1 done
[gemma] jlb-001 (zh) run 2 done
[gemma] jlb-001 (ta) run 0 done
[gemma] jlb-001 (ta) run 1 done
[gemma] jlb-001 (ta) run 2 done
[gemma] jlb-001 (ms) run 0 done
[gemma] jlb-001 (ms) run 1 done
[gemma] jlb-001 (ms) run 2 done
[gemma] jlb-002 (en) run 0 done
[gemma] jlb-002 (en) run 1 done
[gemma] jlb-002 (en) run 2 done
[gemma] jlb-002 (hi) run 0 done
[gemma] jlb-002 (hi) run 1 done
[gemma] jlb-002 (hi) run 2 done
[gemma] jlb-002 (zh) run 0 done
[gemma] jlb-002 (zh) run 1 done
[gemma] jlb-002 (zh) run 2 done
[gemma] jlb-002 (ta) run 0 done
[gemma] jlb-002 (ta) run 1 done
[gemma] jlb-002 (ta) run 2 done
[gemma] jlb-002 (ms) run 0 done
[gemma] jlb-002 (ms) run 1 done
[gemma] jlb-002 (ms) run 2 done
[gemma] rol-001 (en) run 0 done
[gemma] rol-001 (en) run 1 done
[gemma] rol-001 (en) run 2 done
[gemma] rol-001 (hi) run 0 done
[gemma] rol-001 (hi) run 1 done
[gemma] rol-001 (hi) run 2 done
[gemma] rol-001 (zh) run 0 done
[gemma] rol-001 (zh) run 1 done
[gemma] rol-001 (zh) run 2 done
[gemma] rol-001 (ta) run 0 done
[gemma] rol-001 (ta) run 1 done
[gemma] rol-001 (ta) run 2 done
[gemma] rol-001 (ms) run 0 done
[gemma] rol-001 (ms) run 1 done
[gemma] rol-001 (ms) run 2 done
[gemma] rol-002 (en) run 0 done
[gemma] rol-002 (en) run 1 done
[gemma] rol-002 (en) run 2 done
[gemma] rol-002 (hi) run 0 done
[gemma] rol-002 (hi) run 1 done
[gemma] rol-002 (hi) run 2 done
[gemma] rol-002 (zh) run 0 done
[gemma] rol-002 (zh) run 1 done
[gemma] rol-002 (zh) run 2 done
[gemma] rol-002 (ta) run 0 done
[gemma] rol-002 (ta) run 1 done
[gemma] rol-002 (ta) run 2 done
[gemma] rol-002 (ms) run 0 done
[gemma] rol-002 (ms) run 1 done
[gemma] rol-002 (ms) run 2 done
[gemma] sde-001 (en) run 0 done
[gemma] sde-001 (en) run 1 done
[gemma] sde-001 (en) run 2 done
[gemma] sde-001 (hi) run 0 done
[gemma] sde-001 (hi) run 1 done
[gemma] sde-001 (hi) run 2 done
[gemma] sde-001 (zh) run 0 done
[gemma] sde-001 (zh) run 1 done
[gemma] sde-001 (zh) run 2 done
[gemma] sde-001 (ta) run 0 done
[gemma] sde-001 (ta) run 1 done
[gemma] sde-001 (ta) run 2 done
[gemma] sde-001 (ms) run 0 done
[gemma] sde-001 (ms) run 1 done
[gemma] sde-001 (ms) run 2 done
[gemma] sde-002 (en) run 0 done
[gemma] sde-002 (en) run 1 done
[gemma] sde-002 (en) run 2 done
[gemma] sde-002 (hi) run 0 done
[gemma] sde-002 (hi) run 1 done
[gemma] sde-002 (hi) run 2 done
[gemma] sde-002 (zh) run 0 done
[gemma] sde-002 (zh) run 1 done
[gemma] sde-002 (zh) run 2 done
[gemma] sde-002 (ta) run 0 done
[gemma] sde-002 (ta) run 1 done
[gemma] sde-002 (ta) run 2 done
[gemma] sde-002 (ms) run 0 done
[gemma] sde-002 (ms) run 1 done
[gemma] sde-002 (ms) run 2 done
[gemma] ctl-001 (en) run 0 done
[gemma] ctl-001 (en) run 1 done
[gemma] ctl-001 (en) run 2 done
[gemma] ctl-001 (hi) run 0 done
[gemma] ctl-001 (hi) run 1 done
[gemma] ctl-001 (hi) run 2 done
[gemma] ctl-001 (zh) run 0 done
[gemma] ctl-001 (zh) run 1 done
[gemma] ctl-001 (zh) run 2 done
[gemma] ctl-001 (ta) run 0 done
[gemma] ctl-001 (ta) run 1 done
[gemma] ctl-001 (ta) run 2 done
[gemma] ctl-001 (ms) run 0 done
[gemma] ctl-001 (ms) run 1 done
[gemma] ctl-001 (ms) run 2 done
[gemma] ctl-002 (en) run 0 done
[gemma] ctl-002 (en) run 1 done
[gemma] ctl-002 (en) run 2 done
[gemma] ctl-002 (hi) run 0 done
[gemma] ctl-002 (hi) run 1 done
[gemma] ctl-002 (hi) run 2 done
[gemma] ctl-002 (zh) run 0 done
[gemma] ctl-002 (zh) run 1 done
[gemma] ctl-002 (zh) run 2 done
[gemma] ctl-002 (ta) run 0 done
[gemma] ctl-002 (ta) run 1 done
[gemma] ctl-002 (ta) run 2 done
[gemma] ctl-002 (ms) run 0 done
[gemma] ctl-002 (ms) run 1 done
[gemma] ctl-002 (ms) run 2 done
[gemma] ctl-003 (en) run 0 done
[gemma] ctl-003 (en) run 1 done
[gemma] ctl-003 (en) run 2 done
[gemma] ctl-003 (hi) run 0 done
[gemma] ctl-003 (hi) run 1 done
[gemma] ctl-003 (hi) run 2 done
[gemma] ctl-003 (zh) run 0 done
[gemma] ctl-003 (zh) run 1 done
[gemma] ctl-003 (zh) run 2 done
[gemma] ctl-003 (ta) run 0 done
[gemma] ctl-003 (ta) run 1 done
[gemma] ctl-003 (ta) run 2 done
[gemma] ctl-003 (ms) run 0 done
[gemma] ctl-003 (ms) run 1 done
[gemma] ctl-003 (ms) run 2 done
[gemma] ctl-004 (en) run 0 done
[gemma] ctl-004 (en) run 1 done
[gemma] ctl-004 (en) run 2 done
[gemma] ctl-004 (hi) run 0 done
[gemma] ctl-004 (hi) run 1 done
[gemma] ctl-004 (hi) run 2 done
[gemma] ctl-004 (zh) run 0 done
[gemma] ctl-004 (zh) run 1 done
[gemma] ctl-004 (zh) run 2 done
[gemma] ctl-004 (ta) run 0 done
[gemma] ctl-004 (ta) run 1 done
[gemma] ctl-004 (ta) run 2 done
[gemma] ctl-004 (ms) run 0 done
[gemma] ctl-004 (ms) run 1 done
[gemma] ctl-004 (ms) run 2 done
=== Loading/using model: gemma_small ===
[gemma_small] adv-001 (en) run 0 done
[gemma_small] adv-001 (en) run 1 done
[gemma_small] adv-001 (en) run 2 done
[gemma_small] adv-001 (hi) run 0 done
[gemma_small] adv-001 (hi) run 1 done
[gemma_small] adv-001 (hi) run 2 done
[gemma_small] adv-001 (zh) run 0 done
[gemma_small] adv-001 (zh) run 1 done
[gemma_small] adv-001 (zh) run 2 done
[gemma_small] adv-001 (ta) run 0 done
[gemma_small] adv-001 (ta) run 1 done
[gemma_small] adv-001 (ta) run 2 done
[gemma_small] adv-001 (ms) run 0 done
[gemma_small] adv-001 (ms) run 1 done
[gemma_small] adv-001 (ms) run 2 done
[gemma_small] adv-002 (en) run 0 done
[gemma_small] adv-002 (en) run 1 done
[gemma_small] adv-002 (en) run 2 done
[gemma_small] adv-002 (hi) run 0 done
[gemma_small] adv-002 (hi) run 1 done
[gemma_small] adv-002 (hi) run 2 done
[gemma_small] adv-002 (zh) run 0 done
[gemma_small] adv-002 (zh) run 1 done
[gemma_small] adv-002 (zh) run 2 done
[gemma_small] adv-002 (ta) run 0 done
[gemma_small] adv-002 (ta) run 1 done
[gemma_small] adv-002 (ta) run 2 done
[gemma_small] adv-002 (ms) run 0 done
[gemma_small] adv-002 (ms) run 1 done
[gemma_small] adv-002 (ms) run 2 done
[gemma_small] cyb-001 (en) run 0 done
[gemma_small] cyb-001 (en) run 1 done
[gemma_small] cyb-001 (en) run 2 done
[gemma_small] cyb-001 (hi) run 0 done
[gemma_small] cyb-001 (hi) run 1 done
[gemma_small] cyb-001 (hi) run 2 done
[gemma_small] cyb-001 (zh) run 0 done
[gemma_small] cyb-001 (zh) run 1 done
[gemma_small] cyb-001 (zh) run 2 done
[gemma_small] cyb-001 (ta) run 0 done
[gemma_small] cyb-001 (ta) run 1 done
[gemma_small] cyb-001 (ta) run 2 done
[gemma_small] cyb-001 (ms) run 0 done
[gemma_small] cyb-001 (ms) run 1 done
[gemma_small] cyb-001 (ms) run 2 done
[gemma_small] cyb-002 (en) run 0 done
[gemma_small] cyb-002 (en) run 1 done
[gemma_small] cyb-002 (en) run 2 done
[gemma_small] cyb-002 (hi) run 0 done
[gemma_small] cyb-002 (hi) run 1 done
[gemma_small] cyb-002 (hi) run 2 done
[gemma_small] cyb-002 (zh) run 0 done
[gemma_small] cyb-002 (zh) run 1 done
[gemma_small] cyb-002 (zh) run 2 done
[gemma_small] cyb-002 (ta) run 0 done
[gemma_small] cyb-002 (ta) run 1 done
[gemma_small] cyb-002 (ta) run 2 done
[gemma_small] cyb-002 (ms) run 0 done
[gemma_small] cyb-002 (ms) run 1 done
[gemma_small] cyb-002 (ms) run 2 done
[gemma_small] pri-001 (en) run 0 done
[gemma_small] pri-001 (en) run 1 done
[gemma_small] pri-001 (en) run 2 done
[gemma_small] pri-001 (hi) run 0 done
[gemma_small] pri-001 (hi) run 1 done
[gemma_small] pri-001 (hi) run 2 done
[gemma_small] pri-001 (zh) run 0 done
[gemma_small] pri-001 (zh) run 1 done
[gemma_small] pri-001 (zh) run 2 done
[gemma_small] pri-001 (ta) run 0 done
[gemma_small] pri-001 (ta) run 1 done
[gemma_small] pri-001 (ta) run 2 done
[gemma_small] pri-001 (ms) run 0 done
[gemma_small] pri-001 (ms) run 1 done
[gemma_small] pri-001 (ms) run 2 done
[gemma_small] pri-002 (en) run 0 done
[gemma_small] pri-002 (en) run 1 done
[gemma_small] pri-002 (en) run 2 done
[gemma_small] pri-002 (hi) run 0 done
[gemma_small] pri-002 (hi) run 1 done
[gemma_small] pri-002 (hi) run 2 done
[gemma_small] pri-002 (zh) run 0 done
[gemma_small] pri-002 (zh) run 1 done
[gemma_small] pri-002 (zh) run 2 done
[gemma_small] pri-002 (ta) run 0 done
[gemma_small] pri-002 (ta) run 1 done
[gemma_small] pri-002 (ta) run 2 done
[gemma_small] pri-002 (ms) run 0 done
[gemma_small] pri-002 (ms) run 1 done
[gemma_small] pri-002 (ms) run 2 done
[gemma_small] mis-001 (en) run 0 done
[gemma_small] mis-001 (en) run 1 done
[gemma_small] mis-001 (en) run 2 done
[gemma_small] mis-001 (hi) run 0 done
[gemma_small] mis-001 (hi) run 1 done
[gemma_small] mis-001 (hi) run 2 done
[gemma_small] mis-001 (zh) run 0 done
[gemma_small] mis-001 (zh) run 1 done
[gemma_small] mis-001 (zh) run 2 done
[gemma_small] mis-001 (ta) run 0 done
[gemma_small] mis-001 (ta) run 1 done
[gemma_small] mis-001 (ta) run 2 done
[gemma_small] mis-001 (ms) run 0 done
[gemma_small] mis-001 (ms) run 1 done
[gemma_small] mis-001 (ms) run 2 done
[gemma_small] mis-002 (en) run 0 done
[gemma_small] mis-002 (en) run 1 done
[gemma_small] mis-002 (en) run 2 done
[gemma_small] mis-002 (hi) run 0 done
[gemma_small] mis-002 (hi) run 1 done
[gemma_small] mis-002 (hi) run 2 done
[gemma_small] mis-002 (zh) run 0 done
[gemma_small] mis-002 (zh) run 1 done
[gemma_small] mis-002 (zh) run 2 done
